record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,mic50_who_1,mic50_who_2,mic50_who_3,mic50_who_4,mic50_who_5,mic50_who_6,mic50_who_7,mic50_country_1,mic50_country_2,mic50_country_3,mic50_country_4,mic50_country_5,mic50_country_6,mic50_country_7,ddwho1,ddcountry1
77,mic_data_extractio_arm_1,mic_data_extraction,1,5,5,5,,,,,India,India,India,,,,,,
78,mic_data_extractio_arm_1,mic_data_extraction,1,2,,,,,,,Argentina,,,,,,,,
79,mic_data_extractio_arm_1,mic_data_extraction,1,2,2,,,,,,USA,USA,,,,,,,
80,mic_data_extractio_arm_1,mic_data_extraction,1,4,4,4,,,,,Italy,Italy,Italy,,,,,,
81,mic_data_extractio_arm_1,mic_data_extraction,1,4,,,,,,,Spain,,,,,,,,
82,mic_data_extractio_arm_1,mic_data_extraction,1,4,,,,,,,Spain,,,,,,,,
83,mic_data_extractio_arm_1,mic_data_extraction,1,6,,,,,,,Japan,,,,,,,,
84,mic_data_extractio_arm_1,mic_data_extraction,1,6,,,,,,,China,,,,,,,,
85,mic_data_extractio_arm_1,mic_data_extraction,1,6,,,,,,,China,,,,,,,,
86,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Spain
87,mic_data_extractio_arm_1,mic_data_extraction,1,5,,,,,,,India,,,,,,,,
88,mic_data_extractio_arm_1,mic_data_extraction,1,2,,,,,,,Mexico,,,,,,,,
89,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Spain
90,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Turkey
91,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Germany
92,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
93,mic_data_extractio_arm_1,mic_data_extraction,1,6,6,,,,,,Japan,Japan,,,,,,,
94,mic_data_extractio_arm_1,mic_data_extraction,1,4,,,,,,,Poland,,,,,,,,
95,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,3,Tunisia
96,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
97,mic_data_extractio_arm_1,mic_data_extraction,1,6,,,,,,,China,,,,,,,,
98,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Turkey
99,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
100,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,(multiple)
101,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,multiple
102,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Taiwan
103,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
104,mic_data_extractio_arm_1,mic_data_extraction,1,2,,,,,,,USA,,,,,,,,
105,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
106,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
107,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,"(Not reported)"
108,mic_data_extractio_arm_1,mic_data_extraction,1,6,,,,,,,Japan,,,,,,,,
110,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Japan
115,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,China
116,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,"Czech Rep"
116,data_extraction_arm_2,sr_data_extraction,2,,,,,,,,,,,,,,,4,Slovakia
116,data_extraction_arm_2,sr_data_extraction,3,,,,,,,,,,,,,,,4,Hungary
