record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,author,pub_yr,isolate_yr,who,country,count,mic50_1,mic90_1,micnos_1
46,,,,Musser,2020,2010,2,USA,1,,,0.032
46,,,,Musser,2020,2016,4,UK,1,,,0.016
46,,,,Musser,2020,2002,2,Canada,1,,,0.016
46,,,,Musser,2020,1998,4,Sweden,1,,,0.016
46,mic_data_extractio_arm_1,mic_data_extraction,8,Musser,2020,2003,2,Canada,1,,,0.016
46,,,,Musser,2020,2010,2,USA,1,,,0.016
46,,,,Musser,2020,1984,4,Germany,1,,,0.016
46,,,,Musser,2020,2006,4,Iceland,1,,,0.016
46,,,,Musser,2020,2007,4,Sweden,1,,,0.016
47,mic_data_extractio_arm_1,mic_data_extraction,1,Nakajima,1979,1970,6,Japan,2030,,,0.0125
48,mic_data_extractio_arm_1,mic_data_extraction,1,Nakajima,1983,1981,6,Japan,349,,,0.0063
48,,,,Nakajima,1983,1981,6,Japan,123,,,0.0125
48,,,,Nakajima,1983,1981,6,Japan,16,,,0.025
48,,,,Nakajima,1983,1981,6,Japan,9,,,0.05
49,mic_data_extractio_arm_1,mic_data_extraction,1,Nakajima,1982,1978,6,Japan,11,,,0.0063
49,,,,Nakajima,1982,1978,6,Japan,55,,,0.0125
49,,,,Nakajima,1982,1978,6,Japan,1,,,0.05
50,mic_data_extractio_arm_1,mic_data_extraction,1,Ndiaye,2009,2007,1,Senegal,100,0.016,0.023,
51,mic_data_extractio_arm_1,mic_data_extraction,1,Nunes De Melo,2003,1987,2,Brazil,211,0.01,0.01,
52,mic_data_extractio_arm_1,mic_data_extraction,1,Pfaller,1997,1995,2,USA,12,0.012,0.012,
53,mic_data_extractio_arm_1,mic_data_extraction,1,Pfaller,2020,2017,2,USA,272,0.008,0.015,
53,,,,Pfaller,2020,2017,4,(not reported),272,0.008,0.015,
54,mic_data_extractio_arm_1,mic_data_extraction,1,Putnam,2000,1995,2,USA,22,0.016,0.125,
55,mic_data_extractio_arm_1,mic_data_extraction,1,Ranin,1993,1984,4,Serbia,1234,0.015,0.03,
56,mic_data_extractio_arm_1,mic_data_extraction,1,Ranin,2004,1995,4,Serbia,2169,0.015,0.03,
58,mic_data_extractio_arm_1,mic_data_extraction,1,Richter,2005,2003,2,USA,1885,0.008,0.015,
59,mic_data_extractio_arm_1,mic_data_extraction,1,Sakata,2008,2006,6,Japan,367,,0.008,
60,mic_data_extractio_arm_1,mic_data_extraction,1,Sakata,2013,2008,6,Japan,7,,,0.008
60,,,,Sakata,2013,2008,6,Japan,5,,,0.015
61,mic_data_extractio_arm_1,mic_data_extraction,1,Sauermann,2003,2000,4,Germany,540,0.015,0.03,
62,mic_data_extractio_arm_1,mic_data_extraction,1,Schito,2002,1999,4,Austria,137,,0.03,
62,,,,Schito,2002,1999,4,Spain,137,,0.06,
63,mic_data_extractio_arm_1,mic_data_extraction,1,Sefton,1996,1996,4,UK,40,0.015,0.015,
64,mic_data_extractio_arm_1,mic_data_extraction,1,Shackcloth,2004,2001,4,UK,34,0.008,0.008,
65,mic_data_extractio_arm_1,mic_data_extraction,1,Skoczynska,2007,2003,4,Poland,302,0.0075,0.015,
66,mic_data_extractio_arm_1,mic_data_extraction,1,Smeesters,2010,2004,2,Brazil,124,,,0.004
66,,,,Smeesters,2010,2004,2,Brazil,2,,,0.008
66,,,,Smeesters,2010,2004,2,Brazil,1,,,0.016
66,,,,Smeesters,2010,2004,2,Brazil,1,,,0.032
66,,,,Smeesters,2010,2004,2,Brazil,2,,,0.012
67,mic_data_extractio_arm_1,mic_data_extraction,1,Southon,2020,1999,4,Iceland,3,,,0.012
67,,,,Southon,2020,2000,4,Iceland,1,,,0.016
67,,,,Southon,2020,2001,4,Iceland,1,,,0.012
67,,,,Southon,2020,2002,4,Iceland,5,,,0.023
67,,,,Southon,2020,2007,4,Iceland,1,,,0.012
67,,,,Southon,2020,2009,4,Iceland,2,,,0.016
67,,,,Southon,2020,2008,4,Iceland,2,,,0.012
68,mic_data_extractio_arm_1,mic_data_extraction,1,Soyletir,2016,2012,4,Turkey,1,,,0.002
68,,,,Soyletir,2016,2012,4,Turkey,3,,,0.004
68,,,,Soyletir,2016,2012,4,Turkey,12,,,0.008
68,,,,Soyletir,2016,2012,4,Turkey,97,,,0.015
68,,,,Soyletir,2016,2012,4,Turkey,95,,,0.03
68,,,,Soyletir,2016,2012,4,Turkey,7,,,0.06
68,,,,Soyletir,2016,2012,4,Turkey,7,,,0.12
